name,speed,health,image,price,type,rarity,fuelCapacity,cargoCapacity
Luminous ,2275,65,luminous.jpg,"$160,000",Small,Common,2600,135
Meteor ,2300,70,meteor.jpg,"$130,000",Small,Common,2500,160
Ethereal ,2325,76,ethereal.jpg,"$350,000",Medium,Common,4350,330
Mirage ,2550,79,mirage.jpg,"$480,000",Medium,Common,4500,340
Pinnacle ,2600,77,pinnacle.jpg,"$430,000",Medium,Common,4200,310
Nimbus ,2650,74,nimbus.jpg,"$420,000",Medium,Common,4100,320
Stratus ,2700,76,stratus.jpg,"$410,000",Medium,Common,4000,300
Nebulous ,1800,85,nebulous.jpg,"$240,000",Small,Epic,3200,250
Zenith ,2100,85,zenith.jpg,"$500,000",Medium,Epic,5600,490
Hyperion ,2130,81,hyperion.jpg,"$530,000",Medium,Epic,5500,470
Polaris ,2150,82,polaris.jpg,"$520,000",Medium,Epic,5400,480
Odyssey ,2200,69,odyssey.jpg,"$200,000",Small,Epic,3100,170
Andromeda ,2615,83,andromeda.jpg,"$510,000",Medium,Epic,5700,450
Goliath ,2800,75,goliath.jpg,"$1,100,000",Large,Epic,7500,650
Excalibur ,2875,71,excalibur.jpg,"$930,000",Large,Epic,6200,540
Phantom ,2900,73,phantom.jpg,"$940,000",Large,Epic,6100,530
Quasar ,1700,90,quasar.jpg,"$280,000",Small,Legendary,3400,270
Horizon ,2000,90,horizon.jpg,"$650,000",Medium,Legendary,5800,520
Helios ,2350,67,helios.jpg,"$170,000",Small,Legendary,2900,150
Colossus ,2400,92,colossus.jpg,"$1,300,000",Large,Legendary,8800,780
Celestial ,2425,88,celestial.jpg,"$1,200,000",Large,Legendary,8200,740
Specter ,2435,87,specter.jpg,"$1,150,000",Large,Legendary,8000,710
Tornado ,2450,89,tornado.jpg,"$1,250,000",Large,Legendary,8500,760
Stellar ,2915,95,stellar.jpg,"$1,030,000",Large,Legendary,7900,725
Infinity ,2300,68,infinity.jpg,"$190,000",Small,Rare,2800,160
Cosmos ,2400,68,cosmos.jpg,"$150,000",Small,Rare,2600,155
Vortex ,2450,66,vortex.jpg,"$140,000",Small,Rare,2700,140
Cirrus ,2500,78,cirrus.jpg,"$460,000",Medium,Rare,4600,350
Trident ,2925,72,trident.jpg,"$920,000",Large,Rare,6000,510
Titan ,2950,70,titan.jpg,"$900,000",Large,Rare,5900,500
